frame,0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z,21_x,21_y,21_z,22_x,22_y,22_z,23_x,23_y,23_z,24_x,24_y,24_z,25_x,25_y,25_z,26_x,26_y,26_z,27_x,27_y,27_z,28_x,28_y,28_z,29_x,29_y,29_z,30_x,30_y,30_z,31_x,31_y,31_z,32_x,32_y,32_z
0,-0.03443629667162895,-0.6427884697914124,-0.3418288230895996,-0.011262673884630203,-0.6601900458335876,-0.3318098187446594,-0.009063329547643661,-0.6598032712936401,-0.31967663764953613,-0.010799942538142204,-0.6592148542404175,-0.32306990027427673,-0.03692658245563507,-0.6703721880912781,-0.33608996868133545,-0.03784172981977463,-0.669037401676178,-0.34869951009750366,-0.03256450220942497,-0.6555876731872559,-0.3283977508544922,0.07544530928134918,-0.6394169330596924,-0.22345855832099915,-0.08484154939651489,-0.60344398021698,-0.19869405031204224,0.013540892861783504,-0.6289646029472351,-0.293904185295105,-0.030569905415177345,-0.5982154607772827,-0.31192466616630554,0.17863436043262482,-0.46801188588142395,-0.09602498263120651,-0.14333350956439972,-0.5288792848587036,-0.02098606713116169,0.2166273593902588,-0.2673448324203491,-0.05411077290773392,-0.17786632478237152,-0.22990261018276215,-0.013414612039923668,0.21163925528526306,-0.05091856047511101,-0.03907551243901253,-0.19609284400939941,-0.03799133747816086,-0.1012013778090477,0.19727276265621185,-0.0027643395587801933,-0.041395220905542374,-0.17686209082603455,0.010119132697582245,-0.15118002891540527,0.1623019129037857,0.006009243428707123,-0.06809328496456146,-0.13803045451641083,-0.0163092203438282,-0.17311275005340576,0.19904696941375732,-0.01790044456720352,-0.04719296470284462,-0.17646174132823944,-0.034064747393131256,-0.11999189108610153,0.0983681008219719,0.00245025590993464,0.01930515095591545,-0.09597804397344589,-0.004271991550922394,-0.017014838755130768,0.11745353043079376,0.37450361251831055,0.06746605783700943,-0.0669664740562439,0.3010673224925995,0.09612460434436798,0.13847321271896362,0.678215503692627,0.32732272148132324,-0.11998045444488525,0.6608358025550842,0.33290550112724304,0.12346738576889038,0.7116544842720032,0.3573128581047058,-0.12469528615474701,0.6924293637275696,0.3159042000770569,0.15031105279922485,0.7378517389297485,0.3119547963142395,-0.1615179479122162,0.7036447525024414,0.2453855574131012
1,-0.03289828076958656,-0.6428115367889404,-0.3429989814758301,-0.010049947537481785,-0.6602208614349365,-0.33279433846473694,-0.008096752688288689,-0.6598140001296997,-0.3205898106098175,-0.009678508155047894,-0.6592439413070679,-0.3240562379360199,-0.035867080092430115,-0.6704124808311462,-0.3377428352832794,-0.03667135909199715,-0.6690629124641418,-0.3505597710609436,-0.03127460181713104,-0.6556074619293213,-0.3301980197429657,0.07549556344747543,-0.6395590305328369,-0.22463703155517578,-0.08393795043230057,-0.6033111810684204,-0.2032962292432785,0.014231544919312,-0.6290988922119141,-0.2948196828365326,-0.029072612524032593,-0.5982546210289001,-0.3139030635356903,0.1794901341199875,-0.46821194887161255,-0.09562494605779648,-0.1432449221611023,-0.5285409092903137,-0.0315142460167408,0.21686159074306488,-0.26758676767349243,-0.05154237896203995,-0.1733812540769577,-0.22964389622211456,-0.03629906103014946,0.2144162505865097,-0.050678551197052,-0.03644032031297684,-0.1887921392917633,-0.0362631157040596,-0.1264222413301468,0.20037800073623657,-0.0018985384376719594,-0.037025630474090576,-0.16959427297115326,0.012080686166882515,-0.17719367146492004,0.16689005494117737,0.007818471640348434,-0.0645073652267456,-0.13178054988384247,-0.014056745916604996,-0.19741889834403992,0.2029581218957901,-0.01747705042362213,-0.04460805281996727,-0.16992837190628052,-0.032051049172878265,-0.14449743926525116,0.09839656949043274,0.002438529161736369,0.020631512627005577,-0.09603473544120789,-0.004274303093552589,-0.018366627395153046,0.11842913925647736,0.3744497001171112,0.07890879362821579,-0.06809671968221664,0.2999342381954193,0.10028005391359329,0.14290820062160492,0.6792489886283875,0.32852163910865784,-0.12056531757116318,0.6603274345397949,0.3374401330947876,0.12793022394180298,0.7131432890892029,0.3578854501247406,-0.12509776651859283,0.691947877407074,0.3198946714401245,0.1570589691400528,0.7387323975563049,0.3117792308330536,-0.1606263518333435,0.7033833861351013,0.24734269082546234
2,-0.0317864865064621,-0.6428278684616089,-0.34390386939048767,-0.009151655249297619,-0.6602440476417542,-0.3335971534252167,-0.0073597920127213,-0.6598212718963623,-0.32134106755256653,-0.008837101981043816,-0.6592662930488586,-0.324867308139801,-0.03506055846810341,-0.6704471111297607,-0.3390057682991028,-0.035794612020254135,-0.6690840125083923,-0.3519536554813385,-0.030326249077916145,-0.6556237936019897,-0.33155301213264465,0.07553626596927643,-0.6396892070770264,-0.22558832168579102,-0.08328660577535629,-0.603225588798523,-0.20628057420253754,0.014766743406653404,-0.6292082667350769,-0.2955426573753357,-0.028015872463583946,-0.5982891321182251,-0.3153254985809326,0.18008989095687866,-0.46840763092041016,-0.09536159783601761,-0.143133282661438,-0.5283704400062561,-0.03690914809703827,0.21705695986747742,-0.26779794692993164,-0.049978017807006836,-0.17071634531021118,-0.22955606877803802,-0.04483910650014877,0.21619334816932678,-0.050493501126766205,-0.034663423895835876,-0.18484380841255188,-0.03522330895066261,-0.13478873670101166,0.20230041444301605,-0.0012828746112063527,-0.034316785633563995,-0.16563305258750916,0.013287593610584736,-0.18566054105758667,0.16957597434520721,0.009006704203784466,-0.06217198818922043,-0.1282421052455902,-0.012657307088375092,-0.20553243160247803,0.20532719790935516,-0.017163390293717384,-0.04284781590104103,-0.16629230976104736,-0.03084878996014595,-0.15268757939338684,0.09841904044151306,0.002429478568956256,0.021541588008403778,-0.0960785299539566,-0.004277484025806189,-0.01930316910147667,0.11929091066122055,0.3744160234928131,0.08548656851053238,-0.06908067315816879,0.2992473244667053,0.10276278853416443,0.14567922055721283,0.680037260055542,0.32984039187431335,-0.12121939659118652,0.6601449847221375,0.3401367664337158,0.130681574344635,0.7142238020896912,0.35866019129753113,-0.12561550736427307,0.691791832447052,0.32232025265693665,0.16089461743831635,0.7393389940261841,0.3117617666721344,-0.16036786139011383,0.7033106684684753,0.24865558743476868
3,-0.03181418031454086,-0.6438611745834351,-0.3446352183818817,-0.009147422388195992,-0.6611172556877136,-0.3343110680580139,-0.007363796699792147,-0.6606279611587524,-0.3220314681529999,-0.008839216083288193,-0.6601662635803223,-0.32560911774635315,-0.035062242299318314,-0.6714496612548828,-0.3395489752292633,-0.035798460245132446,-0.6700380444526672,-0.3525698781013489,-0.03032751940190792,-0.6565538644790649,-0.33212459087371826,0.07583663612604141,-0.6401609182357788,-0.22706736624240875,-0.08239533752202988,-0.6032877564430237,-0.2064334899187088,0.014776628464460373,-0.6301563382148743,-0.2965262532234192,-0.027962885797023773,-0.5991158485412598,-0.3160161077976227,0.18138782680034637,-0.4685187041759491,-0.09601954370737076,-0.14179719984531403,-0.5283437371253967,-0.036188457161188126,0.2189168781042099,-0.2685976028442383,-0.05007293075323105,-0.169546976685524,-0.22955338656902313,-0.0417492650449276,0.22041086852550507,-0.05169481039047241,-0.03452262282371521,-0.1827082484960556,-0.034936465322971344,-0.13130688667297363,0.2064056545495987,-0.0023861106019467115,-0.034159693866968155,-0.16301217675209045,0.013874501921236515,-0.18202193081378937,0.17467188835144043,0.007941385731101036,-0.061950165778398514,-0.12547971308231354,-0.012246930040419102,-0.2022990882396698,0.2101234495639801,-0.018380604684352875,-0.042636360973119736,-0.16398483514785767,-0.030544450506567955,-0.1493772715330124,0.09842129051685333,0.0024465927854180336,0.021466054022312164,-0.09608861804008484,-0.004313346464186907,-0.01923379674553871,0.1203530877828598,0.3743852376937866,0.0932295173406601,-0.07038132846355438,0.2989710867404938,0.1121382936835289,0.15232212841510773,0.6798876523971558,0.3440186679363251,-0.1216789036989212,0.6600212454795837,0.349100798368454,0.1378844678401947,0.7141165733337402,0.37316790223121643,-0.1259956955909729,0.6916717886924744,0.33125317096710205,0.1662776917219162,0.7393829822540283,0.3268326222896576,-0.16203075647354126,0.703303873538971,0.2599509656429291
4,-0.03162790462374687,-0.6438557505607605,-0.34594011306762695,-0.009080363437533379,-0.6611200571060181,-0.33530381321907043,-0.007333451882004738,-0.6606250405311584,-0.32302647829055786,-0.008800999261438847,-0.660169780254364,-0.3266470432281494,-0.03502923250198364,-0.6714377403259277,-0.3407450020313263,-0.03576425090432167,-0.6700217723846436,-0.3538919985294342,-0.030290530994534492,-0.6565402150154114,-0.3333837687969208,0.07583016902208328,-0.6402215361595154,-0.22789907455444336,-0.08236388862133026,-0.6027854084968567,-0.2075316458940506,0.014979149214923382,-0.6301640272140503,-0.2978169620037079,-0.027697551995515823,-0.5990857481956482,-0.3174629509449005,0.18151415884494781,-0.4687163531780243,-0.09601476788520813,-0.14159442484378815,-0.5277074575424194,-0.03752335533499718,0.22057782113552094,-0.2690107226371765,-0.049967680126428604,-0.16963735222816467,-0.22943660616874695,-0.04086959362030029,0.22218620777130127,-0.05225835740566254,-0.034550197422504425,-0.18304359912872314,-0.034262508153915405,-0.12913644313812256,0.20795835554599762,-0.003027490107342601,-0.034255046397447586,-0.16328832507133484,0.014856573194265366,-0.17975777387619019,0.1756349354982376,0.007153855636715889,-0.06199706345796585,-0.12560537457466125,-0.011643934063613415,-0.20024420320987701,0.21165166795253754,-0.01897237077355385,-0.042649045586586,-0.16424809396266937,-0.02982754446566105,-0.14728505909442902,0.09840329736471176,0.0023982496932148933,0.021725356578826904,-0.0960853323340416,-0.004288391210138798,-0.019487706944346428,0.12064454704523087,0.3744122385978699,0.10080874711275101,-0.07245384901762009,0.29892605543136597,0.11515442281961441,0.1535903960466385,0.6797921657562256,0.35588815808296204,-0.12425407767295837,0.659779965877533,0.3536927402019501,0.13927604258060455,0.7140694260597229,0.3855212330818176,-0.12850210070610046,0.6913963556289673,0.3363511860370636,0.16804951429367065,0.7394660711288452,0.34048160910606384,-0.1646195650100708,0.7032764554023743,0.2669958770275116
5,-0.03138867765665054,-0.6440516710281372,-0.3467071056365967,-0.008866657502949238,-0.6613891124725342,-0.3357469439506531,-0.0071841152384877205,-0.6608942151069641,-0.32344740629196167,-0.008642364293336868,-0.6604646444320679,-0.3271048963069916,-0.03494766354560852,-0.6717135906219482,-0.34135088324546814,-0.03568544611334801,-0.6702788472175598,-0.3545476198196411,-0.03021329641342163,-0.6568055152893066,-0.33401837944984436,0.07586934417486191,-0.6404514908790588,-0.22791644930839539,-0.0824054554104805,-0.6027661561965942,-0.20783735811710358,0.015194516628980637,-0.6303524971008301,-0.29839932918548584,-0.027561664581298828,-0.5991952419281006,-0.31817883253097534,0.18166352808475494,-0.468802273273468,-0.095613993704319,-0.14159010350704193,-0.5274450778961182,-0.03808881342411041,0.22209620475769043,-0.2689756751060486,-0.04777490347623825,-0.16973057389259338,-0.22942958772182465,-0.04144701361656189,0.22437496483325958,-0.0522339828312397,-0.030253516510128975,-0.18324121832847595,-0.033867768943309784,-0.12832576036453247,0.21014413237571716,-0.003025565529242158,-0.029391244053840637,-0.16376173496246338,0.015464912168681622,-0.17879919707775116,0.1776711642742157,0.007145745679736137,-0.057063788175582886,-0.12603813409805298,-0.011004886589944363,-0.1990913599729538,0.21384111046791077,-0.018953464925289154,-0.03815125674009323,-0.16454030573368073,-0.029334260150790215,-0.14635074138641357,0.09839946776628494,0.0023678031284362078,0.021861305460333824,-0.09608931839466095,-0.004269341938197613,-0.0196080319583416,0.12076014280319214,0.3744727373123169,0.10346881300210953,-0.07599856704473495,0.29891344904899597,0.11489812284708023,0.15312032401561737,0.679604172706604,0.3627622425556183,-0.1254219114780426,0.6595801115036011,0.3562597930431366,0.13844656944274902,0.7139533162117004,0.3930628001689911,-0.1294994354248047,0.6911694407463074,0.339540034532547,0.16705864667892456,0.740469753742218,0.3493032157421112,-0.16655337810516357,0.7038505673408508,0.2721576988697052
6,-0.031314171850681305,-0.644018292427063,-0.35131198167800903,-0.008813605643808842,-0.6613851189613342,-0.34020060300827026,-0.007152286358177662,-0.6608842015266418,-0.3278140723705292,-0.00860594678670168,-0.6604627370834351,-0.33152148127555847,-0.03493146970868111,-0.6717026829719543,-0.346294641494751,-0.03566521033644676,-0.6702624559402466,-0.359572172164917,-0.0301970224827528,-0.6567990779876709,-0.3389050364494324,0.07575924694538116,-0.6404593586921692,-0.23127557337284088,-0.08252734690904617,-0.6026039719581604,-0.21279659867286682,0.015202200971543789,-0.630331814289093,-0.30255356431007385,-0.027546919882297516,-0.5991472005844116,-0.322966068983078,0.18164236843585968,-0.46882039308547974,-0.09738539904356003,-0.1418352574110031,-0.527030885219574,-0.041530851274728775,0.22344717383384705,-0.2685907483100891,-0.048268385231494904,-0.16977985203266144,-0.2292681187391281,-0.04454614594578743,0.22922790050506592,-0.048246245831251144,-0.030366234481334686,-0.1842714548110962,-0.03132704272866249,-0.12951412796974182,0.21669124066829681,0.0015216224128380418,-0.02953539788722992,-0.16583217680454254,0.018537160009145737,-0.1798160821199417,0.18366795778274536,0.012805365025997162,-0.057261355221271515,-0.12820623815059662,-0.006747687701135874,-0.2001245617866516,0.21878188848495483,-0.014116720296442509,-0.03828135132789612,-0.16570298373699188,-0.02612185850739479,-0.14767707884311676,0.098438560962677,0.0022965797688812017,0.021914610639214516,-0.0961514562368393,-0.004229205194860697,-0.019650716334581375,0.1213509738445282,0.37458521127700806,0.10457515716552734,-0.08080888539552689,0.2990608215332031,0.11468255519866943,0.1528099626302719,0.6798729300498962,0.36238327622413635,-0.1284053772687912,0.6603446006774902,0.35292333364486694,0.13829690217971802,0.7143800258636475,0.3924280107021332,-0.1323610097169876,0.6919176578521729,0.3359721601009369,0.16629372537136078,0.7427086234092712,0.3475642204284668,-0.17066225409507751,0.7058691382408142,0.26742011308670044
7,-0.031243473291397095,-0.6439369320869446,-0.35596129298210144,-0.008799970149993896,-0.6613605618476868,-0.3446671962738037,-0.007148786447942257,-0.6608523726463318,-0.33224964141845703,-0.008602120913565159,-0.6604413986206055,-0.33603522181510925,-0.03494076430797577,-0.6716559529304504,-0.3514368534088135,-0.03566742688417435,-0.6702046990394592,-0.36471301317214966,-0.030205518007278442,-0.6567606329917908,-0.3439933657646179,0.07512177526950836,-0.6404680609703064,-0.23437179625034332,-0.08327042311429977,-0.6023419499397278,-0.21838654577732086,0.015191941522061825,-0.6303112506866455,-0.3065950870513916,-0.02755030244588852,-0.5990626215934753,-0.32784733176231384,0.18140758574008942,-0.46932274103164673,-0.09829293936491013,-0.14263904094696045,-0.5262596607208252,-0.04752359166741371,0.22422395646572113,-0.26857689023017883,-0.04875905439257622,-0.1706734001636505,-0.22782140970230103,-0.05440417677164078,0.2330409437417984,-0.04540388286113739,-0.030590709298849106,-0.189148411154747,-0.02781268022954464,-0.13885657489299774,0.22187799215316772,0.004780255723744631,-0.029719987884163857,-0.17230914533138275,0.02195311337709427,-0.189363032579422,0.18916688859462738,0.017229868099093437,-0.057454973459243774,-0.1346999555826187,-0.0027881350833922625,-0.20919981598854065,0.22299107909202576,-0.010492242872714996,-0.038689080625772476,-0.17088831961154938,-0.022298265248537064,-0.15692798793315887,0.09843899309635162,0.0021951356902718544,0.022256966680288315,-0.09615716338157654,-0.004165238235145807,-0.019967932254076004,0.1195284053683281,0.37542903423309326,0.10642242431640625,-0.08327368646860123,0.29988232254981995,0.1102723702788353,0.14477837085723877,0.6831626296043396,0.36047643423080444,-0.13154566287994385,0.6622735261917114,0.34308168292045593,0.1289256066083908,0.7182604074478149,0.39035284519195557,-0.135652557015419,0.6938539147377014,0.3256663978099823,0.1571197360754013,0.748211681842804,0.34525424242019653,-0.17469274997711182,0.7085577249526978,0.25567057728767395
8,-0.03124275431036949,-0.6428556442260742,-0.36245593428611755,-0.008807499893009663,-0.660610020160675,-0.3509606719017029,-0.007168196607381105,-0.6600254774093628,-0.33855366706848145,-0.008619125932455063,-0.6596812605857849,-0.3422512710094452,-0.03500589355826378,-0.670696496963501,-0.35789087414741516,-0.03571365028619766,-0.6692306995391846,-0.37114956974983215,-0.03026309423148632,-0.6558452844619751,-0.35037747025489807,0.07489629089832306,-0.6400082111358643,-0.239000603556633,-0.08382494747638702,-0.6010408997535706,-0.22358253598213196,0.015152372419834137,-0.6293670535087585,-0.31253835558891296,-0.027584778144955635,-0.5979078412055969,-0.33399003744125366,0.18117840588092804,-0.4689669907093048,-0.10155557841062546,-0.1436987817287445,-0.5239517092704773,-0.050619859248399734,0.2244492918252945,-0.2664220929145813,-0.05307716503739357,-0.17154906690120697,-0.22359134256839752,-0.05657435581088066,0.23878413438796997,-0.038173820823431015,-0.03655164688825607,-0.19550538063049316,-0.02135445363819599,-0.1399143934249878,0.2304687350988388,0.012169456109404564,-0.03512353077530861,-0.18047426640987396,0.0283717792481184,-0.18973767757415771,0.19805201888084412,0.025856919586658478,-0.06436880677938461,-0.14357571303844452,0.004508238285779953,-0.2100924402475357,0.2292868196964264,-0.002414336893707514,-0.04533815011382103,-0.1776147335767746,-0.015223806723952293,-0.15826308727264404,0.0984894335269928,0.002140588825568557,0.02241256833076477,-0.09621692448854446,-0.004125547595322132,-0.020103443413972855,0.11925064027309418,0.3755533993244171,0.10384341329336166,-0.08389369398355484,0.3001449406147003,0.10496071726083755,0.1437106430530548,0.6844035983085632,0.3558841049671173,-0.13205601274967194,0.6633031964302063,0.3355600833892822,0.12763261795043945,0.7196964025497437,0.38543784618377686,-0.1362350583076477,0.6948637366294861,0.3181004524230957,0.1520654857158661,0.7501505017280579,0.337817519903183,-0.17484426498413086,0.709832489490509,0.24730853736400604
9,-0.031435105949640274,-0.6419909000396729,-0.36377471685409546,-0.008935067802667618,-0.6599769592285156,-0.35236912965774536,-0.007325473241508007,-0.6593602299690247,-0.33998116850852966,-0.008766768500208855,-0.659050464630127,-0.34363415837287903,-0.035225849598646164,-0.6700525879859924,-0.3589976131916046,-0.03593205288052559,-0.6685766577720642,-0.37220656871795654,-0.030491305515170097,-0.6552053093910217,-0.3514712452888489,0.07478923350572586,-0.6397737860679626,-0.24011816084384918,-0.08420432358980179,-0.6006718277931213,-0.22383831441402435,0.014936578460037708,-0.6287005543708801,-0.31382468342781067,-0.027832934632897377,-0.5972065925598145,-0.33490636944770813,0.18107475340366364,-0.4688708782196045,-0.10281076282262802,-0.14443784952163696,-0.5233156085014343,-0.04989385977387428,0.22511707246303558,-0.26455777883529663,-0.0540371872484684,-0.17343775928020477,-0.2220839112997055,-0.05487401410937309,0.24554915726184845,-0.032544832676649094,-0.03652779385447502,-0.20194749534130096,-0.019200852140784264,-0.13878290355205536,0.2393498420715332,0.01738535799086094,-0.03493748605251312,-0.18779148161411285,0.029906000941991806,-0.18861350417137146,0.20810307562351227,0.031839415431022644,-0.0643443912267685,-0.1510854959487915,0.006216680631041527,-0.20911069214344025,0.23694957792758942,0.0036477502435445786,-0.045306138694286346,-0.18419858813285828,-0.01301301084458828,-0.1572236567735672,0.09850454330444336,0.002094602445140481,0.02240501157939434,-0.09623723477125168,-0.004090611357241869,-0.020086737349629402,0.11922737956047058,0.37731531262397766,0.10200853645801544,-0.08412546664476395,0.301691472530365,0.10463396459817886,0.14214272797107697,0.6869476437568665,0.3541453778743744,-0.13195747137069702,0.6652306914329529,0.33490753173828125,0.12580077350139618,0.7223503589630127,0.3837181627750397,-0.13613830506801605,0.6967427730560303,0.31737759709358215,0.14921697974205017,0.7526828646659851,0.33510804176330566,-0.1746392548084259,0.711545467376709,0.2462429404258728
