Frame,Landmark_0_X,Landmark_0_Y,Landmark_0_Z,Landmark_1_X,Landmark_1_Y,Landmark_1_Z,Landmark_2_X,Landmark_2_Y,Landmark_2_Z,Landmark_3_X,Landmark_3_Y,Landmark_3_Z,Landmark_4_X,Landmark_4_Y,Landmark_4_Z,Landmark_5_X,Landmark_5_Y,Landmark_5_Z,Landmark_6_X,Landmark_6_Y,Landmark_6_Z,Landmark_7_X,Landmark_7_Y,Landmark_7_Z,Landmark_8_X,Landmark_8_Y,Landmark_8_Z,Landmark_9_X,Landmark_9_Y,Landmark_9_Z,Landmark_10_X,Landmark_10_Y,Landmark_10_Z,Landmark_11_X,Landmark_11_Y,Landmark_11_Z,Landmark_12_X,Landmark_12_Y,Landmark_12_Z,Landmark_13_X,Landmark_13_Y,Landmark_13_Z,Landmark_14_X,Landmark_14_Y,Landmark_14_Z,Landmark_15_X,Landmark_15_Y,Landmark_15_Z,Landmark_16_X,Landmark_16_Y,Landmark_16_Z,Landmark_17_X,Landmark_17_Y,Landmark_17_Z,Landmark_18_X,Landmark_18_Y,Landmark_18_Z,Landmark_19_X,Landmark_19_Y,Landmark_19_Z,Landmark_20_X,Landmark_20_Y,Landmark_20_Z,Landmark_21_X,Landmark_21_Y,Landmark_21_Z,Landmark_22_X,Landmark_22_Y,Landmark_22_Z,Landmark_23_X,Landmark_23_Y,Landmark_23_Z,Landmark_24_X,Landmark_24_Y,Landmark_24_Z,Landmark_25_X,Landmark_25_Y,Landmark_25_Z,Landmark_26_X,Landmark_26_Y,Landmark_26_Z,Landmark_27_X,Landmark_27_Y,Landmark_27_Z,Landmark_28_X,Landmark_28_Y,Landmark_28_Z,Landmark_29_X,Landmark_29_Y,Landmark_29_Z,Landmark_30_X,Landmark_30_Y,Landmark_30_Z,Landmark_31_X,Landmark_31_Y,Landmark_31_Z,Landmark_32_X,Landmark_32_Y,Landmark_32_Z
0,0.5009433627128601,0.4942306578159332,0.0787661001086235,0.5075370073318481,0.48516321182250977,0.07742725312709808,0.5074793100357056,0.4815452992916107,0.07723807543516159,0.5073411464691162,0.4780624806880951,0.07728525251150131,0.5077900290489197,0.4892597198486328,0.054914239794015884,0.5079396367073059,0.48899045586586,0.05470086261630058,0.508141279220581,0.4888571798801422,0.054632339626550674,0.5025830268859863,0.45921581983566284,0.07162822037935257,0.5043209791183472,0.47671282291412354,-0.03107471577823162,0.4930053949356079,0.4913780391216278,0.08306963741779327,0.4934617280960083,0.4941948354244232,0.051908865571022034,0.45561566948890686,0.4034660756587982,0.09565442055463791,0.47359102964401245,0.5189974308013916,-0.1252371072769165,0.44534581899642944,0.2960243821144104,0.0908825546503067,0.4953494668006897,0.6135807037353516,-0.23882566392421722,0.4360107183456421,0.19389402866363525,0.03215963393449783,0.5199671983718872,0.7072781324386597,-0.2632598280906677,0.43651723861694336,0.1656775176525116,0.01659967564046383,0.5275665521621704,0.726879894733429,-0.3042040169239044,0.4402420222759247,0.16278496384620667,0.006778713781386614,0.5286171436309814,0.7274400591850281,-0.278783917427063,0.4384109377861023,0.17359262704849243,0.02728600986301899,0.524161159992218,0.7239547967910767,-0.2545865476131439,0.34242022037506104,0.4578346610069275,0.0866537019610405,0.35301730036735535,0.4894479215145111,-0.08685562759637833,0.2809246778488159,0.5574440360069275,0.1251552253961563,0.3693360388278961,0.6428147554397583,-0.013588192872703075,0.21217353641986847,0.6542456150054932,0.20445150136947632,0.30417734384536743,0.7522203922271729,0.07241646945476532,0.19552303850650787,0.6554969549179077,0.20901188254356384,0.28408166766166687,0.768121600151062,0.07921812683343887,0.21218392252922058,0.7130953669548035,0.1427779495716095,0.33454829454421997,0.7854597568511963,0.01817932166159153
1,0.5015665292739868,0.5065028071403503,0.09156939387321472,0.5086877942085266,0.49551957845687866,0.09080006927251816,0.5084644556045532,0.4921681582927704,0.09063831716775894,0.5081830620765686,0.4888397753238678,0.09067778289318085,0.5088375210762024,0.49837103486061096,0.06750340014696121,0.5087804198265076,0.49750348925590515,0.06730131804943085,0.5087575316429138,0.4966435134410858,0.0672392025589943,0.5035649538040161,0.4739631712436676,0.09162010997533798,0.504610002040863,0.4835416376590729,-0.014592851512134075,0.4935370087623596,0.5028120279312134,0.09830673784017563,0.4940371811389923,0.5053924918174744,0.06614294648170471,0.4578685164451599,0.40945446491241455,0.11364441365003586,0.4771587550640106,0.5250800848007202,-0.10130386054515839,0.45577290654182434,0.3014053404331207,0.1288187950849533,0.4976605772972107,0.6256970167160034,-0.20680280029773712,0.45493027567863464,0.20110490918159485,0.1054961308836937,0.5206588506698608,0.7160429358482361,-0.23342682421207428,0.4593818485736847,0.17548097670078278,0.09613427519798279,0.5267389416694641,0.7347180843353271,-0.2720889747142792,0.4626273214817047,0.17292921245098114,0.08680868148803711,0.5278602242469788,0.7353312969207764,-0.24891500174999237,0.46009641885757446,0.18234780430793762,0.10187754034996033,0.5241069793701172,0.7311088442802429,-0.225788414478302,0.35077518224716187,0.4619836211204529,0.08290599286556244,0.35673487186431885,0.49024438858032227,-0.08309075236320496,0.27593326568603516,0.5407470464706421,0.050332508981227875,0.3698878884315491,0.6431370973587036,-0.08115296810865402,0.19382590055465698,0.603072464466095,0.039881110191345215,0.27926671504974365,0.715858519077301,-0.04743259400129318,0.17587518692016602,0.59283047914505,0.0359916053712368,0.2609494924545288,0.7178253531455994,-0.044308945536613464,0.17398709058761597,0.6542123556137085,-0.03022618032991886,0.28837865591049194,0.7719098925590515,-0.09378913044929504
2,0.5015447735786438,0.5222852826118469,0.11494701355695724,0.5087357759475708,0.5112782120704651,0.11196407675743103,0.5085969567298889,0.5085035562515259,0.11181912571191788,0.5083833336830139,0.5056505799293518,0.11185220628976822,0.508843183517456,0.5129892826080322,0.09262605756521225,0.5088145136833191,0.5116671919822693,0.09243007004261017,0.5088021159172058,0.5105134844779968,0.09238012880086899,0.5043801069259644,0.48832210898399353,0.10074744373559952,0.5049349665641785,0.496316134929657,0.012723499909043312,0.4937379062175751,0.5177356004714966,0.1173248365521431,0.4942238926887512,0.5197605490684509,0.09044501185417175,0.4636786878108978,0.4170231223106384,0.10899436473846436,0.48025456070899963,0.5345832705497742,-0.0608404166996479,0.46867913007736206,0.3165530264377594,0.11410900950431824,0.5006231069564819,0.6377323865890503,-0.16075190901756287,0.479588121175766,0.21914315223693848,0.0857570692896843,0.5228671431541443,0.7290156483650208,-0.19127966463565826,0.48700663447380066,0.19552789628505707,0.07209135591983795,0.5267051458358765,0.7495883703231812,-0.22549471259117126,0.48961618542671204,0.1933085322380066,0.06754200905561447,0.5278578996658325,0.7511359453201294,-0.20746508240699768,0.48519283533096313,0.20070871710777283,0.0835280641913414,0.5247655510902405,0.7464724779129028,-0.18537001311779022,0.35465380549430847,0.4619983434677124,0.06278961151838303,0.36323273181915283,0.4941381812095642,-0.063006691634655,0.27428141236305237,0.5137997269630432,0.0224381722509861,0.37309229373931885,0.6453661918640137,-0.07763952761888504,0.1846744865179062,0.5324134826660156,0.0067018913105130196,0.29019036889076233,0.7273165583610535,0.008151615038514137,0.1700865924358368,0.5194649696350098,0.002638105768710375,0.27768734097480774,0.7396230697631836,0.011773606762290001,0.1510763168334961,0.5673156380653381,-0.05794333294034004,0.3133684992790222,0.7737627625465393,-0.03451353311538696
3,0.5018541216850281,0.5389919877052307,0.1278795748949051,0.5090762972831726,0.530251681804657,0.123739093542099,0.5091773271560669,0.5272989273071289,0.12359694391489029,0.5091856718063354,0.5243206024169922,0.12362410873174667,0.5090377330780029,0.5321083068847656,0.10525002330541611,0.5090868473052979,0.5307966470718384,0.10504500567913055,0.5091267228126526,0.5297354459762573,0.10498734563589096,0.5063282251358032,0.5048158168792725,0.10907959192991257,0.5062458515167236,0.5142543911933899,0.025537380948662758,0.49513399600982666,0.5331584811210632,0.12914152443408966,0.4955516755580902,0.5353906750679016,0.10355173796415329,0.4707269072532654,0.4278371036052704,0.10762950032949448,0.48353126645088196,0.5462275147438049,-0.04392566531896591,0.4806149899959564,0.3333370089530945,0.11307238787412643,0.5034775137901306,0.6444271802902222,-0.13866053521633148,0.5006863474845886,0.2412843257188797,0.08591271936893463,0.5256438255310059,0.7410208582878113,-0.1732475757598877,0.5095080137252808,0.22098593413829803,0.07130063325166702,0.5264590978622437,0.7614976167678833,-0.2066052109003067,0.5138688683509827,0.2202117145061493,0.06668480485677719,0.527149498462677,0.76297926902771,-0.19099551439285278,0.5092153549194336,0.22765696048736572,0.08343647420406342,0.5249720811843872,0.7578346729278564,-0.16825537383556366,0.35856059193611145,0.4618366062641144,0.052349016070365906,0.3691355884075165,0.5013569593429565,-0.0526142455637455,0.27492591738700867,0.4802013337612152,-0.02251368574798107,0.37523555755615234,0.6492623686790466,-0.016300488263368607,0.1882641613483429,0.4484909474849701,-0.06555302441120148,0.29733994603157043,0.7284924983978271,0.038144323974847794,0.1770196110010147,0.4231586754322052,-0.07174945622682571,0.2830359637737274,0.7410814166069031,0.042573750019073486,0.14454981684684753,0.46275827288627625,-0.13744361698627472,0.31938043236732483,0.775157630443573,0.02105746977031231
4,0.50362628698349,0.553035318851471,0.14635442197322845,0.5099572539329529,0.5458349585533142,0.14240297675132751,0.5102326273918152,0.543138325214386,0.14224937558174133,0.5104187726974487,0.5404344201087952,0.14227358996868134,0.5097437500953674,0.548076868057251,0.12387779355049133,0.5098097920417786,0.5472233295440674,0.12368352711200714,0.5098512768745422,0.5466961860656738,0.12363354116678238,0.5082446336746216,0.5210956931114197,0.12473303824663162,0.507341742515564,0.5317400097846985,0.04231085255742073,0.4978519082069397,0.5462693572044373,0.14621737599372864,0.49810144305229187,0.5491377711296082,0.12084929645061493,0.47820502519607544,0.44245007634162903,0.12037477642297745,0.48597490787506104,0.5557606816291809,-0.0285570677369833,0.49078136682510376,0.35927891731262207,0.15257667005062103,0.5069072842597961,0.6526691317558289,-0.10411808639764786,0.5190513134002686,0.2753874957561493,0.14406134188175201,0.5268275737762451,0.7477982640266418,-0.11854789406061172,0.5295602083206177,0.2573733329772949,0.13397741317749023,0.5274358987808228,0.7674161195755005,-0.14620718359947205,0.532322883605957,0.26007163524627686,0.12799017131328583,0.5281270146369934,0.7678799033164978,-0.13489516079425812,0.5276761651039124,0.2659510374069214,0.14162856340408325,0.5265687704086304,0.7627184987068176,-0.11477076262235641,0.36392802000045776,0.45702099800109863,0.047578148543834686,0.37444257736206055,0.5038377642631531,-0.04789818450808525,0.28143247961997986,0.44623300433158875,-0.04592190310359001,0.3765021860599518,0.649438202381134,0.03233019635081291,0.20679205656051636,0.3663043975830078,-0.13122840225696564,0.3030897378921509,0.7330693602561951,0.08081463724374771,0.2042030245065689,0.34203243255615234,-0.14164267480373383,0.28652647137641907,0.7465333342552185,0.08513904362916946,0.16464932262897491,0.35849088430404663,-0.21527883410453796,0.3202131986618042,0.7755556702613831,0.0562615767121315
5,0.5054833292961121,0.5704933404922485,0.1862025111913681,0.5109976530075073,0.5641277432441711,0.1859617531299591,0.5112636089324951,0.5618848204612732,0.18581323325634003,0.5114619135856628,0.5598418116569519,0.18582740426063538,0.5106300115585327,0.5656315088272095,0.16493242979049683,0.5105931758880615,0.5646640062332153,0.16471914947032928,0.5105574131011963,0.5640957951545715,0.16463714838027954,0.5090142488479614,0.5419139266014099,0.17266081273555756,0.5076491832733154,0.550136148929596,0.07796040177345276,0.500154435634613,0.5632154941558838,0.18658314645290375,0.5001218318939209,0.5654880404472351,0.15767733752727509,0.4821251332759857,0.45642924308776855,0.1731995791196823,0.48635080456733704,0.5649279356002808,-0.005885223858058453,0.49657776951789856,0.3878003656864166,0.2511424720287323,0.5093145370483398,0.6650049090385437,-0.06281514465808868,0.5292350649833679,0.31824320554733276,0.30003228783607483,0.5271996855735779,0.751140296459198,-0.0451103039085865,0.5396984815597534,0.3054429590702057,0.3072248697280884,0.5284052491188049,0.7677881121635437,-0.0658469945192337,0.5427590608596802,0.30798572301864624,0.29819026589393616,0.5291730761528015,0.7674455046653748,-0.05075245350599289,0.5381090641021729,0.3127780556678772,0.29819637537002563,0.5277826189994812,0.7618452310562134,-0.038743581622838974,0.37357789278030396,0.4494151175022125,0.05500394105911255,0.3823279142379761,0.5026262998580933,-0.055290915071964264,0.2934924364089966,0.40972697734832764,-0.013116057962179184,0.3767624497413635,0.645429790019989,-0.0313568152487278,0.2503301799297333,0.30288776755332947,-0.08298810571432114,0.30516403913497925,0.7353957891464233,-0.052997566759586334,0.2507469356060028,0.2773483097553253,-0.0904846116900444,0.2872295677661896,0.7481977343559265,-0.05433338135480881,0.21326644718647003,0.27633798122406006,-0.14676319062709808,0.3203521966934204,0.7760592699050903,-0.09300962090492249
6,0.5056589841842651,0.5856523513793945,0.24718062579631805,0.5109179019927979,0.5782421827316284,0.24981556832790375,0.5111563801765442,0.5760300755500793,0.24968931078910828,0.5113327503204346,0.5741124749183655,0.2497222125530243,0.5105783939361572,0.5797639489173889,0.22567912936210632,0.5105544328689575,0.5787662267684937,0.22547547519207,0.510536789894104,0.5781891345977783,0.2253999263048172,0.5086914300918579,0.5571920871734619,0.239220529794693,0.5073627829551697,0.5635095834732056,0.1297382414340973,0.5004569292068481,0.5775991082191467,0.24829508364200592,0.500281572341919,0.579589307308197,0.21494802832603455,0.4847324788570404,0.46495160460472107,0.2410905808210373,0.4862087666988373,0.5682585835456848,0.045392271131277084,0.497615784406662,0.41715800762176514,0.3629765808582306,0.5093028545379639,0.6639110445976257,0.007729330565780401,0.5234759449958801,0.37860631942749023,0.47101834416389465,0.5285676717758179,0.7491761445999146,0.06734481453895569,0.5329649448394775,0.3690354824066162,0.493617981672287,0.529639482498169,0.7687023878097534,0.05784623697400093,0.5351797342300415,0.37228861451148987,0.4848477244377136,0.5308669805526733,0.7683751583099365,0.07827474921941757,0.5314914584159851,0.3765653967857361,0.47066032886505127,0.5302255153656006,0.7623392343521118,0.07702195644378662,0.3829014003276825,0.4375353157520294,0.05282008275389671,0.391521155834198,0.49438992142677307,-0.052998851984739304,0.3065311312675476,0.3827672302722931,0.010218626819550991,0.3778323233127594,0.6334462761878967,-0.04572279006242752,0.30617326498031616,0.2600804567337036,-0.03720495477318764,0.30629435181617737,0.7295897603034973,-0.06594566255807877,0.32222482562065125,0.24372847378253937,-0.04038505628705025,0.2871001958847046,0.7392446398735046,-0.0654437392950058,0.2773904502391815,0.2085140496492386,-0.07997282594442368,0.32193729281425476,0.7762720584869385,-0.09428241848945618
7,0.5055240988731384,0.5844904184341431,0.38298299908638,0.5101200938224792,0.5815111398696899,0.3887389600276947,0.5101560950279236,0.5798166394233704,0.3886573910713196,0.5101796984672546,0.5783659815788269,0.38872280716896057,0.5101367235183716,0.5833826661109924,0.3646165132522583,0.5101469159126282,0.5829161405563354,0.3644478917121887,0.5101802945137024,0.5828412175178528,0.36440956592559814,0.5086649656295776,0.564582109451294,0.37306708097457886,0.5073388814926147,0.57194983959198,0.26295146346092224,0.5010191798210144,0.5760437846183777,0.3811553418636322,0.5012525916099548,0.5790058970451355,0.34792575240135193,0.48653218150138855,0.4836883544921875,0.3566684126853943,0.4917207360267639,0.5670610666275024,0.13577032089233398,0.49085313081741333,0.45448100566864014,0.45838186144828796,0.5121220350265503,0.6630915403366089,0.06336148828268051,0.5080512166023254,0.4392872750759125,0.576137900352478,0.5294214487075806,0.7504944205284119,0.1179492324590683,0.515930712223053,0.43411535024642944,0.6070837378501892,0.5303019881248474,0.7686448097229004,0.10840825736522675,0.5172517895698547,0.4374764561653137,0.6003318428993225,0.5317728519439697,0.7679975628852844,0.1392262876033783,0.5140328407287598,0.43955105543136597,0.5770386457443237,0.5313892960548401,0.7623533606529236,0.13134583830833435,0.3995421826839447,0.43432381749153137,0.05614633113145828,0.40741226077079773,0.48214229941368103,-0.05633915215730667,0.32483693957328796,0.3551257848739624,0.0209049079567194,0.3797954320907593,0.6129041910171509,-0.12055525183677673,0.36597028374671936,0.23853833973407745,-0.0006724484846927226,0.30778855085372925,0.7169772386550903,-0.1626964658498764,0.38292238116264343,0.23584531247615814,0.012937146238982677,0.28757840394973755,0.724304735660553,-0.1633995622396469,0.3527337610721588,0.17107602953910828,0.011034487746655941,0.32234033942222595,0.7755262851715088,-0.19852595031261444
8,0.47826364636421204,0.6038636565208435,0.14321257174015045,0.4837081730365753,0.6098020076751709,0.15672554075717926,0.484317809343338,0.6088213324546814,0.15667018294334412,0.48482954502105713,0.6078014373779297,0.15677805244922638,0.48541924357414246,0.6108043789863586,0.127428337931633,0.48717382550239563,0.6104374527931213,0.1271466165781021,0.48900729417800903,0.6098573207855225,0.1269673854112625,0.49180546402931213,0.5990998148918152,0.27250462770462036,0.4976072907447815,0.5988802909851074,0.07192786037921906,0.47937408089637756,0.5942375063896179,0.16722911596298218,0.48049396276474,0.5952874422073364,0.12612313032150269,0.4863893389701843,0.5120420455932617,0.24832183122634888,0.5042684674263,0.5730922818183899,0.044575951993465424,0.4880450963973999,0.546730637550354,0.386135995388031,0.517422080039978,0.6668015718460083,-0.04908255487680435,0.5011372566223145,0.5887600779533386,0.49447447061538696,0.5306829214096069,0.7510740756988525,0.0031172828748822212,0.5146199464797974,0.5931255221366882,0.526063859462738,0.5311039686203003,0.7706130743026733,-0.011773688718676567,0.5092312693595886,0.5972699522972107,0.505504310131073,0.5327120423316956,0.7702435851097107,0.015212209895253181,0.5103257298469543,0.596335232257843,0.48864033818244934,0.5323948264122009,0.7631811499595642,0.01527601107954979,0.4116111099720001,0.42840611934661865,0.07474043220281601,0.4174541234970093,0.48154574632644653,-0.07499042898416519,0.3449626863002777,0.32371604442596436,0.016170144081115723,0.3800789713859558,0.6003028750419617,-0.07024247199296951,0.40863731503486633,0.23761551082134247,0.010571570135653019,0.3097257614135742,0.7027338743209839,-0.07946924865245819,0.42334336042404175,0.24605633318424225,0.015549023635685444,0.2909165620803833,0.7067705392837524,-0.06286480277776718,0.4142416715621948,0.16785559058189392,-0.005234946962445974,0.32224172353744507,0.7553350925445557,-0.070315882563591
9,0.47441530227661133,0.6189384460449219,0.0880318433046341,0.47993093729019165,0.6266115307807922,0.09941979497671127,0.48045840859413147,0.6258184313774109,0.0993053987622261,0.4808524250984192,0.6248558759689331,0.09938927739858627,0.4812648892402649,0.6264589428901672,0.07023946195840836,0.482791930437088,0.6254323720932007,0.06999430060386658,0.48441949486732483,0.6241759657859802,0.06985034793615341,0.48804908990859985,0.6150229573249817,0.14879263937473297,0.4937433898448944,0.6127490997314453,0.006331269629299641,0.4743049740791321,0.6072021126747131,0.10898637026548386,0.47562557458877563,0.6074521541595459,0.06878219544887543,0.4971020519733429,0.5213075280189514,0.21495459973812103,0.5048750042915344,0.5721213817596436,-0.04969538748264313,0.4719325006008148,0.5184970498085022,0.34287387132644653,0.5209254622459412,0.6652222871780396,-0.10933735966682434,0.43668311834335327,0.5358518362045288,0.43635880947113037,0.531441867351532,0.750533938407898,-0.018673134967684746,0.434882789850235,0.5382608771324158,0.46531230211257935,0.5310503244400024,0.7700731158256531,-0.05084201321005821,0.43158185482025146,0.5442411303520203,0.43989789485931396,0.5326551795005798,0.7700030207633972,-0.03763823211193085,0.4347517192363739,0.5409652590751648,0.4281595051288605,0.5320142507553101,0.7632626295089722,0.006270221900194883,0.42232459783554077,0.42087817192077637,0.07666757702827454,0.4276469051837921,0.473194420337677,-0.07692060619592667,0.365384578704834,0.2978557348251343,0.02034301497042179,0.3864831030368805,0.5808572769165039,-0.024846848100423813,0.44511163234710693,0.24716198444366455,0.014632301405072212,0.3181702792644501,0.6822291612625122,4.6373166696866974e-05,0.45811185240745544,0.2623499631881714,0.017145894467830658,0.3026725947856903,0.6844225525856018,0.005281690042465925,0.47141921520233154,0.19373291730880737,-0.007657352369278669,0.32241788506507874,0.739435076713562,-0.01580462045967579
