frame,body_0_x,body_0_y,body_0_z,body_1_x,body_1_y,body_1_z,body_2_x,body_2_y,body_2_z,body_3_x,body_3_y,body_3_z,body_4_x,body_4_y,body_4_z,body_5_x,body_5_y,body_5_z,body_6_x,body_6_y,body_6_z,body_7_x,body_7_y,body_7_z,body_8_x,body_8_y,body_8_z,body_9_x,body_9_y,body_9_z,body_10_x,body_10_y,body_10_z,body_11_x,body_11_y,body_11_z,body_12_x,body_12_y,body_12_z,body_13_x,body_13_y,body_13_z,body_14_x,body_14_y,body_14_z,body_15_x,body_15_y,body_15_z,body_16_x,body_16_y,body_16_z,body_17_x,body_17_y,body_17_z,body_18_x,body_18_y,body_18_z,body_19_x,body_19_y,body_19_z,body_20_x,body_20_y,body_20_z,body_21_x,body_21_y,body_21_z,body_22_x,body_22_y,body_22_z,body_23_x,body_23_y,body_23_z,body_24_x,body_24_y,body_24_z,body_25_x,body_25_y,body_25_z,body_26_x,body_26_y,body_26_z,body_27_x,body_27_y,body_27_z,body_28_x,body_28_y,body_28_z,body_29_x,body_29_y,body_29_z,body_30_x,body_30_y,body_30_z,body_31_x,body_31_y,body_31_z,body_32_x,body_32_y,body_32_z,height_ratio
0,0.7562974691390991,0.443057656288147,-0.24383863806724548,0.759036123752594,0.4318416714668274,-0.23396021127700806,0.7607465386390686,0.4320296049118042,-0.23395799100399017,0.7621945142745972,0.43228769302368164,-0.23396436870098114,0.7531252503395081,0.43101757764816284,-0.23810914158821106,0.7505878210067749,0.43083542585372925,-0.23814867436885834,0.7480806112289429,0.4306972622871399,-0.23815344274044037,0.763022780418396,0.435611367225647,-0.1569911390542984,0.7421665787696838,0.4342576265335083,-0.17749926447868347,0.7582904100418091,0.45448559522628784,-0.2135525345802307,0.7522017359733582,0.45378291606903076,-0.21957634389400482,0.7760474681854248,0.5077916383743286,-0.08789239823818207,0.7164456844329834,0.49634578824043274,-0.12446582317352295,0.7815631628036499,0.5857812762260437,-0.04363714158535004,0.7017055153846741,0.5715236067771912,-0.09872107207775116,0.7923276424407959,0.6529349088668823,-0.10242383182048798,0.698357880115509,0.6381127834320068,-0.14671222865581512,0.7969886064529419,0.6749832630157471,-0.11840779334306717,0.6965566277503967,0.6598934531211853,-0.16343329846858978,0.7956816554069519,0.6743454933166504,-0.14191943407058716,0.6989272236824036,0.6594007611274719,-0.1868680864572525,0.7939613461494446,0.6690621972084045,-0.11303926259279251,0.7010236382484436,0.6526439785957336,-0.15649256110191345,0.7569563984870911,0.645920991897583,0.014842182397842407,0.7236914038658142,0.6439313888549805,-0.014920493587851524,0.7643623948097229,0.7581477165222168,0.006677527446299791,0.72038334608078,0.7508737444877625,-0.011662360280752182,0.76720130443573,0.859754204750061,0.08972708135843277,0.7099332809448242,0.8434198498725891,0.09714949131011963,0.763141393661499,0.8734061121940613,0.09280643612146378,0.7087387442588806,0.8544305562973022,0.10327471792697906,0.7793645262718201,0.8899474143981934,0.014824614860117435,0.7064744830131531,0.8773242235183716,0.026055922731757164,1.0
1,0.7559396028518677,0.44261956214904785,-0.22952738404273987,0.7589758038520813,0.43115827441215515,-0.2197929471731186,0.7606953978538513,0.431328147649765,-0.21979422867298126,0.7621690630912781,0.43156108260154724,-0.21979309618473053,0.752975583076477,0.43033453822135925,-0.22354048490524292,0.7504763007164001,0.4300468862056732,-0.223575621843338,0.7479051351547241,0.4299773573875427,-0.22357450425624847,0.7630225419998169,0.43531233072280884,-0.14646564424037933,0.7421647906303406,0.43375200033187866,-0.16509391367435455,0.7580662369728088,0.45419394969940186,-0.200865238904953,0.75145423412323,0.4535527229309082,-0.2063031643629074,0.7759788036346436,0.5069020390510559,-0.08195783197879791,0.7165586352348328,0.4961774945259094,-0.11641218513250351,0.7812498211860657,0.5854343771934509,-0.04127828776836395,0.7017483115196228,0.5722773671150208,-0.09427277743816376,0.7917134165763855,0.6527905464172363,-0.09624699503183365,0.6972517371177673,0.6393558382987976,-0.1396743804216385,0.7966088652610779,0.6748340129852295,-0.11114829033613205,0.6943606734275818,0.6609111428260803,-0.15619473159313202,0.7953335642814636,0.6742553114891052,-0.13429483771324158,0.6978099346160889,0.6609125137329102,-0.1776164472103119,0.7934417724609375,0.6687474846839905,-0.10685161501169205,0.6998379230499268,0.6542150974273682,-0.14875967800617218,0.7568570971488953,0.6444016098976135,0.01459218468517065,0.723652184009552,0.6422407031059265,-0.014670784585177898,0.7643883228302002,0.7566871643066406,0.015059846453368664,0.7196460962295532,0.7496429681777954,-0.0087331747636199,0.7673312425613403,0.8596572875976562,0.08341365307569504,0.7096461057662964,0.8431923985481262,0.08028218150138855,0.7629352807998657,0.8734402060508728,0.08484157174825668,0.7087860107421875,0.854425847530365,0.08398278802633286,0.7795290350914001,0.8898762464523315,0.009932950139045715,0.7065325975418091,0.8764603734016418,0.007423186209052801,1.008130081300813
2,0.7558014988899231,0.44243761897087097,-0.23025290668010712,0.7588921189308167,0.4308861196041107,-0.22066695988178253,0.7606055736541748,0.43100741505622864,-0.22066597640514374,0.7620739340782166,0.4311911165714264,-0.22066602110862732,0.7528417110443115,0.43008020520210266,-0.2244102954864502,0.7503424882888794,0.429756224155426,-0.22444471716880798,0.747705340385437,0.429727703332901,-0.22444289922714233,0.7628706693649292,0.4350094795227051,-0.14735454320907593,0.7420812249183655,0.43358010053634644,-0.16576600074768066,0.7579229474067688,0.4539763033390045,-0.2014998346567154,0.7511387467384338,0.45343881845474243,-0.2068811058998108,0.7757857441902161,0.5065104961395264,-0.08282343298196793,0.716574490070343,0.49582982063293457,-0.1149090975522995,0.7810293436050415,0.5854197144508362,-0.04130319505929947,0.701742947101593,0.5723375082015991,-0.09107380360364914,0.7911427617073059,0.6531891226768494,-0.09630025923252106,0.6956235766410828,0.6393347978591919,-0.13562795519828796,0.7958992719650269,0.6749495267868042,-0.11102476716041565,0.6921675205230713,0.6608631610870361,-0.15182524919509888,0.7947016358375549,0.6745191812515259,-0.13418489694595337,0.6950156688690186,0.6608805060386658,-0.17380768060684204,0.7927259802818298,0.6689236164093018,-0.10690011084079742,0.6971596479415894,0.654270350933075,-0.14501498639583588,0.7567846179008484,0.6436103582382202,0.012721939012408257,0.7235702276229858,0.6410478353500366,-0.012803720310330391,0.7643688917160034,0.7561788558959961,0.013479888439178467,0.7184645533561707,0.7480977177619934,-0.0014364193193614483,0.7673942446708679,0.8592943549156189,0.07750330120325089,0.7090254426002502,0.8418805599212646,0.08478424698114395,0.7628461122512817,0.8727753162384033,0.07867248356342316,0.7086900472640991,0.8533329963684082,0.09020767360925674,0.7792050838470459,0.8898220658302307,0.00021179231407586485,0.7063413858413696,0.8753278255462646,0.013360180892050266,1.008130081300813
3,0.7553213238716125,0.44238102436065674,-0.23237784206867218,0.7583752870559692,0.43067222833633423,-0.2228367030620575,0.7601953148841858,0.4307851493358612,-0.2228354513645172,0.7616379261016846,0.4309455454349518,-0.22283735871315002,0.7523859739303589,0.4298691749572754,-0.22651389241218567,0.7498763799667358,0.42954012751579285,-0.2265501618385315,0.7472819685935974,0.42954710125923157,-0.2265494018793106,0.7623661756515503,0.4347771108150482,-0.14893563091754913,0.7418384552001953,0.4334906041622162,-0.16711431741714478,0.7573779225349426,0.4538578391075134,-0.20339344441890717,0.7505923509597778,0.4533839821815491,-0.20867200195789337,0.7753978967666626,0.5061125159263611,-0.08301600813865662,0.7165586948394775,0.4955814480781555,-0.11461640149354935,0.7801888585090637,0.5852620005607605,-0.04274088516831398,0.70159512758255,0.5720809698104858,-0.08897601813077927,0.789812445640564,0.653215765953064,-0.0968000590801239,0.6936406493186951,0.6390770673751831,-0.1342523843050003,0.793921709060669,0.674939751625061,-0.111959308385849,0.6894523501396179,0.660014808177948,-0.15057256817817688,0.792858898639679,0.6745253801345825,-0.13523629307746887,0.691598117351532,0.6603209376335144,-0.17328236997127533,0.7911223769187927,0.6689343452453613,-0.10739172250032425,0.6938838958740234,0.6541814208030701,-0.1439744383096695,0.7565224766731262,0.6428476572036743,0.011120778508484364,0.7234885692596436,0.6401568055152893,-0.011201480403542519,0.764178454875946,0.7554647922515869,0.011032955721020699,0.7172908186912537,0.7467685341835022,0.001681612920947373,0.7676320672035217,0.8592726588249207,0.07222869992256165,0.7081289887428284,0.8397049903869629,0.08960039168596268,0.7628638744354248,0.8727455139160156,0.07340238988399506,0.7079199552536011,0.8515850305557251,0.09345678985118866,0.7791058421134949,0.8897178173065186,-0.0072293709963560104,0.7060012817382812,0.8734521865844727,0.01546646561473608,1.0121951219512195
4,0.7536083459854126,0.4423418641090393,-0.24284513294696808,0.7566434144973755,0.43056565523147583,-0.23319606482982635,0.7584114074707031,0.4306597113609314,-0.2331932932138443,0.7602304816246033,0.43083301186561584,-0.23319946229457855,0.7505661249160767,0.4297698438167572,-0.23577436804771423,0.7479585409164429,0.42946305871009827,-0.23581738770008087,0.7456222772598267,0.42949551343917847,-0.23581509292125702,0.7611815929412842,0.4346959590911865,-0.15997515618801117,0.7407627105712891,0.4334891438484192,-0.17320294678211212,0.7557362914085388,0.4537396728992462,-0.2144312560558319,0.7488075494766235,0.45332691073417664,-0.21833278238773346,0.7747344970703125,0.5061191916465759,-0.0977199450135231,0.7159928679466248,0.49561282992362976,-0.11661851406097412,0.7792942523956299,0.5850849747657776,-0.05878298729658127,0.7002407908439636,0.5718157291412354,-0.09106244146823883,0.787647545337677,0.6530613899230957,-0.11167524009943008,0.6901643872261047,0.6390639543533325,-0.13736577332019806,0.7908700704574585,0.6748036742210388,-0.12708956003189087,0.6863294243812561,0.6596783399581909,-0.1538112759590149,0.7897343039512634,0.6743835210800171,-0.15026640892028809,0.6884369254112244,0.6600422263145447,-0.17567473649978638,0.7881428003311157,0.6688186526298523,-0.12209358811378479,0.6906661987304688,0.6541551947593689,-0.1470840871334076,0.756424605846405,0.6426214575767517,0.009364831261336803,0.7234829664230347,0.6400936841964722,-0.009443998336791992,0.763899028301239,0.7548713684082031,0.010974531061947346,0.7161391973495483,0.7466458082199097,0.0020282946061342955,0.7676277756690979,0.8589990735054016,0.07620725780725479,0.706475019454956,0.8398342132568359,0.09191378951072693,0.7627147436141968,0.8726874589920044,0.07797432690858841,0.7057913541793823,0.8516085147857666,0.09536589682102203,0.7791935205459595,0.8894029855728149,-0.0013573990436270833,0.7048417925834656,0.872689425945282,0.016029812395572662,1.0121951219512195
5,0.7522907853126526,0.4423328936100006,-0.2591652572154999,0.7550669312477112,0.4305495321750641,-0.24906964600086212,0.7564759850502014,0.4306395649909973,-0.2490670382976532,0.7581658959388733,0.4308113753795624,-0.24907997250556946,0.7492599487304688,0.4297316372394562,-0.2517651915550232,0.7467835545539856,0.42942097783088684,-0.25181421637535095,0.7446393966674805,0.4294537603855133,-0.2518131732940674,0.7590388059616089,0.4346228241920471,-0.17336028814315796,0.7398775815963745,0.4334776699542999,-0.18707042932510376,0.7543351054191589,0.45363733172416687,-0.22984649240970612,0.7476107478141785,0.4532789885997772,-0.2339291125535965,0.7734907269477844,0.5060048699378967,-0.10990961641073227,0.7150248289108276,0.4956958293914795,-0.12772299349308014,0.7783219218254089,0.5848678946495056,-0.07361284643411636,0.6979275345802307,0.5715101361274719,-0.10282550752162933,0.7856733798980713,0.6529099345207214,-0.12840606272220612,0.6863129734992981,0.6376705765724182,-0.15010735392570496,0.788262665271759,0.6746930480003357,-0.14467854797840118,0.6822066903114319,0.6579234004020691,-0.16734498739242554,0.7867957353591919,0.6742902398109436,-0.16804654896259308,0.6842517852783203,0.6585890650749207,-0.18994717299938202,0.7850343585014343,0.6685768961906433,-0.13885490596294403,0.6863988041877747,0.6532065868377686,-0.16007564961910248,0.7558092474937439,0.6419064402580261,0.009425560012459755,0.7232640981674194,0.6394940614700317,-0.009497890248894691,0.7634692788124084,0.7536801099777222,0.005835022311657667,0.7148951292037964,0.7452400922775269,0.0026481933891773224,0.7675625085830688,0.8582701683044434,0.07474328577518463,0.7048364877700806,0.8382614850997925,0.09682714939117432,0.7625725865364075,0.8721961975097656,0.07671333104372025,0.704011857509613,0.8502288460731506,0.10091907531023026,0.7793876528739929,0.8889226317405701,-0.0047071147710084915,0.7033796310424805,0.8704083561897278,0.020568665117025375,1.016260162601626
6,0.7497695684432983,0.441665381193161,-0.2545510530471802,0.7525966763496399,0.4299042224884033,-0.24545574188232422,0.7542344331741333,0.430029958486557,-0.24544711410999298,0.7556284666061401,0.43023160099983215,-0.2454501986503601,0.7466616034507751,0.42923474311828613,-0.2504378855228424,0.7444861531257629,0.42903637886047363,-0.2504681944847107,0.7424718737602234,0.4291798174381256,-0.25046825408935547,0.7567799687385559,0.4343356788158417,-0.1682136505842209,0.7383425831794739,0.43341901898384094,-0.18325766921043396,0.7522944211959839,0.4530956745147705,-0.22400780022144318,0.7454048991203308,0.45293402671813965,-0.22973325848579407,0.7719181776046753,0.5062626004219055,-0.10300048440694809,0.7134674787521362,0.49569690227508545,-0.124171182513237,0.7776878476142883,0.5847116112709045,-0.0654502883553505,0.6946948170661926,0.5694288611412048,-0.09847648441791534,0.7849980592727661,0.6525417566299438,-0.11961953341960907,0.6818751096725464,0.6346638798713684,-0.14419977366924286,0.7872593998908997,0.6743690371513367,-0.13526110351085663,0.6762146353721619,0.6554193496704102,-0.16052645444869995,0.7853865027427673,0.6741379499435425,-0.1585076004266739,0.6784307360649109,0.6558982133865356,-0.18376247584819794,0.7837254405021667,0.6682087779045105,-0.13003459572792053,0.6808792948722839,0.6510032415390015,-0.15467454493045807,0.7541289925575256,0.6419888138771057,0.00955228041857481,0.7220411896705627,0.6395887732505798,-0.009625623933970928,0.7628523111343384,0.7537923455238342,0.007050030864775181,0.7136262655258179,0.7447649240493774,0.0009012994705699384,0.7676349878311157,0.8580037355422974,0.07488609850406647,0.7029597163200378,0.8384016752243042,0.09273993968963623,0.7626913189888,0.8720905184745789,0.07698381692171097,0.7012655735015869,0.8502991795539856,0.09671677649021149,0.7797459959983826,0.8881551027297974,-0.0023597506806254387,0.7025883197784424,0.8703237771987915,0.017162393778562546,1.016260162601626
7,0.7476866245269775,0.4420870244503021,-0.255073219537735,0.7503860592842102,0.43060895800590515,-0.24501371383666992,0.7522159814834595,0.43076783418655396,-0.24501082301139832,0.7535690069198608,0.43095579743385315,-0.24502012133598328,0.7444283962249756,0.4299083352088928,-0.2484283298254013,0.7423209547996521,0.42978522181510925,-0.24847184121608734,0.7402752637863159,0.4298626184463501,-0.24847202003002167,0.7545945048332214,0.4348531663417816,-0.16861091554164886,0.7366255521774292,0.4339611232280731,-0.18346281349658966,0.7503461241722107,0.4532918334007263,-0.22542686760425568,0.7431970834732056,0.45312198996543884,-0.2301100343465805,0.7695643305778503,0.5064958333969116,-0.1048150509595871,0.7114522457122803,0.4957346022129059,-0.12428681552410126,0.7767391800880432,0.5846260190010071,-0.06749696284532547,0.691473126411438,0.5676639676094055,-0.0984966829419136,0.7845603227615356,0.6524748802185059,-0.12199960649013519,0.6760340929031372,0.6320369243621826,-0.14492005109786987,0.7863223552703857,0.674368143081665,-0.13743992149829865,0.6694861650466919,0.652459979057312,-0.16109193861484528,0.7841139435768127,0.6741569638252258,-0.16088706254959106,0.6720525026321411,0.6527887582778931,-0.1845770925283432,0.7826411724090576,0.668175995349884,-0.13250674307346344,0.6749415993690491,0.6482821106910706,-0.1554613560438156,0.7520869374275208,0.6419650316238403,0.009352783672511578,0.720036506652832,0.6389515399932861,-0.009424632415175438,0.7620846629142761,0.753668487071991,0.002349616726860404,0.7116039991378784,0.7439613938331604,-0.00025266295415349305,0.7678446173667908,0.8575616478919983,0.06955288350582123,0.7018868923187256,0.8385249376296997,0.08591894805431366,0.7630153894424438,0.8715603947639465,0.0712536945939064,0.6998587250709534,0.850414514541626,0.08966966718435287,0.7797456383705139,0.8875697255134583,-0.011719049885869026,0.7018418908119202,0.8705677390098572,0.009070969186723232,1.016260162601626
8,0.7449295520782471,0.4439070224761963,-0.2535707354545593,0.7475836873054504,0.4325636923313141,-0.2427111715078354,0.7494430541992188,0.4327509105205536,-0.24270768463611603,0.7511084675788879,0.4329551160335541,-0.24270740151405334,0.7417230010032654,0.43178337812423706,-0.24798402190208435,0.7396236062049866,0.43158310651779175,-0.24803219735622406,0.7375388741493225,0.43159085512161255,-0.2480524182319641,0.7521573305130005,0.4360192120075226,-0.16616062819957733,0.7345051169395447,0.4351530373096466,-0.17920488119125366,0.7477818727493286,0.45416051149368286,-0.2234836369752884,0.7404438853263855,0.45384088158607483,-0.22875379025936127,0.7674707770347595,0.5069049000740051,-0.10211265832185745,0.7095404863357544,0.4957418441772461,-0.117155060172081,0.7756709456443787,0.584240198135376,-0.0635545402765274,0.6878240704536438,0.5639441013336182,-0.09189682453870773,0.7844840884208679,0.6523553133010864,-0.12131766229867935,0.6711381673812866,0.6251645088195801,-0.14179891347885132,0.7862431406974792,0.6743356585502625,-0.1351471245288849,0.6646374464035034,0.6452314257621765,-0.15756064653396606,0.7839949131011963,0.6741355061531067,-0.15864326059818268,0.6667197346687317,0.6460278630256653,-0.18161846697330475,0.7825086116790771,0.668029248714447,-0.13209527730941772,0.6697990298271179,0.6410157084465027,-0.15277676284313202,0.7499542236328125,0.6419497132301331,0.007434619124978781,0.7176715731620789,0.6388804912567139,-0.007496112957596779,0.7608526945114136,0.7537172436714172,-0.004272649995982647,0.7094286680221558,0.7434177994728088,-0.0010953715536743402,0.7679550051689148,0.8572816252708435,0.05639047548174858,0.7015682458877563,0.8388819098472595,0.08033832162618637,0.7630483508110046,0.8711487054824829,0.0573078952729702,0.700380265712738,0.8513630032539368,0.08365900069475174,0.7797442674636841,0.8871076703071594,-0.026163946837186813,0.7001819014549255,0.8706977963447571,0.004284722730517387,1.016260162601626
9,0.7424286007881165,0.4465027153491974,-0.25126221776008606,0.7452586889266968,0.4352859556674957,-0.24102850258350372,0.7470733523368835,0.43560561537742615,-0.24102766811847687,0.7487615942955017,0.43587377667427063,-0.2410377711057663,0.7393622994422913,0.4344242513179779,-0.24518786370754242,0.7371638417243958,0.4342394471168518,-0.24523398280143738,0.7351884841918945,0.4340924322605133,-0.24524717032909393,0.7500725984573364,0.43777671456336975,-0.16546590626239777,0.732212245464325,0.4368099570274353,-0.17851100862026215,0.7454345226287842,0.45558345317840576,-0.2215564250946045,0.7378317713737488,0.4552094340324402,-0.22724685072898865,0.764944314956665,0.5069088935852051,-0.10078359395265579,0.7069448232650757,0.4955675005912781,-0.11541306227445602,0.7743367552757263,0.5834184885025024,-0.0620528869330883,0.6841859221458435,0.56108558177948,-0.09058371186256409,0.7844879627227783,0.6510332226753235,-0.1192983016371727,0.6658834218978882,0.6185747385025024,-0.1419307142496109,0.7863509058952332,0.6737193465232849,-0.1343102902173996,0.6592743992805481,0.6388241052627563,-0.1577671319246292,0.7843335866928101,0.6735754013061523,-0.15721361339092255,0.6608214974403381,0.6395703554153442,-0.18275493383407593,0.7829555869102478,0.6672576069831848,-0.1297091841697693,0.6637099385261536,0.6335462331771851,-0.15333928167819977,0.7473657727241516,0.641202449798584,0.007068732287734747,0.7147625088691711,0.6383554935455322,-0.007121266797184944,0.7597063183784485,0.753670871257782,-0.011461594142019749,0.7075791954994202,0.7434340715408325,-0.0047620306722819805,0.7680649161338806,0.8574244976043701,0.04286734387278557,0.701242983341217,0.8397448062896729,0.07794518023729324,0.7632456421852112,0.8717027902603149,0.043212760239839554,0.7008373141288757,0.8526371717453003,0.08142358809709549,0.7801026701927185,0.8869426846504211,-0.04011749476194382,0.6993834972381592,0.8708326816558838,0.0032327452208846807,1.0203252032520325
